Date,Alphabet Inc- A shares (GOOGL),Amazon.com Inc (AMZN),Facebook Inc (FB),Microsoft Corp (MSFT),TESLA Inc.,Morgan Stanley (MS),Ferrari N.V. (RACE.MI),Assicurazioni Generali S.p.A. (G.MI),Juventus Football Club S.p.A. (JUVE.MI),Piaggio & C. SpA (PIA.MI),Toscana Aeroporti S.p.A. (TYA.MI),Valsoia S.p.A. (VLS.MI),Bayer Aktiengesellschaft (BAYN.DE),Ryanair Holdings plc (RY4C.IR),Crdit Agricole S.A. (ACA.PA),"Cisco Systems, Inc. (CSCO)"
15-Nov-18,946.84065,1431.6339,127.1678,92.71935,61.6063,36.9458,95.51598,12.9586,0.99647,1.5949,13.8018,11.2999,57.92698000000001,11.77,10.2796,38.8741
16-Nov-18,943.29312,1406.997,123.2064,93.48426,62.57185,36.7616,95.1617,13.1359,0.98633,1.5789,13.7059,11.4867,57.08786,11.855,10.2029,38.4805
19-Nov-18,900.1433699999999,1324.9477,115.2536,89.61131999999998,61.93644000000001,36.7061,93.74462,13.1495,0.96239,1.602,13.4663,11.3466,56.82335,11.645,10.1786,37.686
20-Nov-18,899.5619,1305.5062,115.6087,86.80651,60.67034,35.4957,91.00884,12.8767,0.90023,1.5682,13.2267,11.3466,55.65588,11.42,9.94478,36.5168
21-Nov-18,917.50925,1333.6915,118.55,88.64054,59.47547,36.2761,92.42593,12.9904,0.94858,1.5709,13.035,11.4867,57.09698,11.915,10.0813,37.1127
22-Nov-18,916.22584,1331.8259,118.3841,88.51655,59.39227,36.2254,92.2488,12.9358,0.99002,1.5335,12.8912,11.3933,56.75951,12.3,9.98032,37.0608
23-Nov-18,903.34607,1317.2314,115.5206,88.36729,57.14731999999999,35.6406,93.1148,12.9631,1.0204,1.537,13.3705,11.3466,57.28852,12.435,10.029,36.7241
26-Nov-18,931.38162,1394.7968,120.2927,91.81216,61.03719,36.846,94.23667,13.2905,1.0637,1.5548,13.4184,11.2066,58.58369,12.235,10.4012,37.7914
27-Nov-18,928.47937,1395.3661,119.1173,92.42236,60.69157,36.6675,90.73329,13.3678,1.0674,1.5442,13.2746,11.1599,58.14589,11.8,10.3694,38.261
28-Nov-18,966.28849,1484.8922,121.0394,96.14893,61.57645,37.8317,91.69771,13.386,1.0388,1.5522,13.7539,11.1599,58.58369,11.865,10.2871,39.3516
29-Nov-18,962.81404,1472.105,121.9856,94.75925,60.01997,36.9357,94.53189,13.4178,1.013,1.5539,13.8018,11.1599,58.16413000000001,11.595,10.3376,39.1515
30-Nov-18,973.99493,1483.5462,123.4204,95.15849,61.52674,36.7579,95.00426,13.5406,1.0066,1.5887,13.8018,11.2066,58.90293000000001,11.655,10.2591,39.5057
3-Dec-18,984.25001,1562.619,124.3934,96.61677,63.21326,37.77,96.83466,13.6497,1.0361,1.6536,13.8976,11.3466,60.736230000000006,11.67,10.3676,40.4029
4-Dec-18,935.69623,1469.3268,121.4722,93.43562,63.35613000000001,35.8254,96.32294,13.4996,1.0112,1.6572,13.6101,11.1132,59.58699,11.405,10.1375,39.207
5-Dec-18,936.68448,1470.8787,121.6005,93.5343,63.42305,35.8633,94.51221,13.386,1.1051,1.6581,13.8018,11.1132,59.84238000000001,11.8,10.0364,39.2484
6-Dec-18,949.92885,1497.2076,123.0322,94.06055,63.98063000000001,35.4198,91.63866,12.9904,1.0784,1.626,13.8018,10.9264,56.8872,11.215,9.55193,40.0887
7-Dec-18,920.09051,1432.2337,120.8114,90.09212,62.94116999999999,34.2699,92.11102,13.0268,1.1051,1.5993,13.5142,11.0198,57.85402,11.14,9.53322,38.3863
10-Dec-18,923.76517,1439.3801,124.4195,92.26039,64.05606,33.6864,90.16252,12.8904,1.1291,1.5539,13.4184,10.833,55.45522,10.575,9.25074,38.6444
